,Ceratium,detritus,other,ciliate,pollen,Nauplii,Karatella,Polyarthra,Asplanchna,Tricocera,Mallomonas,Unk_Rotifer_Veliger,colony
D20190102T211303_IFCB109,2,0,0,0,0,1,6,0,0,0,43,2,0
D20190102T214233_IFCB109,1,0,0,0,0,0,16,2,1,0,9,0,0
D20190102T221603_IFCB109,0,0,0,0,0,0,13,7,2,0,7,0,0
D20190102T223904_IFCB109,0,0,0,0,0,0,5,4,0,0,5,0,0
D20190103T143743_IFCB109,0,0,0,0,0,0,23,139,11,1,57,1,0
D20190103T150450_IFCB109,1,0,0,0,0,1,29,126,6,5,44,0,0
D20190103T152754_IFCB109,1,0,0,0,0,1,29,139,8,2,53,0,0
D20190103T155903_IFCB109,1,0,0,0,0,0,12,28,3,1,130,7,0
D20190103T162526_IFCB109,2,0,0,0,0,0,25,21,6,5,189,8,0
D20190103T165324_IFCB109,5,0,0,0,0,0,18,23,3,3,174,6,0
D20190103T172507_IFCB109,0,0,0,0,0,0,15,13,1,2,14,0,0
D20190103T175242_IFCB109,0,0,0,0,0,0,13,8,1,2,21,0,0
D20190103T181733_IFCB109,0,0,0,0,0,2,8,13,0,1,24,0,0
D20190103T184919_IFCB109,78,0,0,0,0,0,14,18,1,5,2622,0,18
D20190103T193217_IFCB109,102,0,0,0,0,0,32,30,7,5,2822,1,21
D20190103T200041_IFCB109,85,0,0,0,0,1,20,19,3,3,2546,0,16
D20190104T144117_IFCB109,4,0,0,0,0,0,15,4,8,0,193,0,0
D20190104T151348_IFCB109,5,0,0,0,0,0,5,2,0,2,78,0,0
D20190104T154758_IFCB109,3,0,0,0,0,0,2,2,0,2,52,0,0
D20190104T164703_IFCB109,3,0,0,0,0,0,14,17,2,7,120,0,0
D20190104T171248_IFCB109,5,0,0,0,0,0,12,13,7,5,51,0,0
D20190104T173852_IFCB109,8,0,1,0,0,1,17,19,0,3,53,0,0
D20190104T180844_IFCB109,2,0,0,0,0,1,26,17,1,2,44,0,0
D20190104T183321_IFCB109,2,0,0,0,0,0,39,11,0,0,24,0,0
D20190104T190141_IFCB109,3,0,0,0,0,0,22,4,1,0,19,0,0
D20190104T193338_IFCB109,95,0,2,0,0,1,51,60,10,11,169,3,0
D20190104T195846_IFCB109,86,0,0,0,0,2,40,50,18,11,170,3,0
D20190104T202256_IFCB109,91,0,0,0,0,1,49,52,11,7,188,1,0
D20190104T210626_IFCB109,9,0,0,0,0,0,10,27,5,8,44,0,0
D20190104T213737_IFCB109,9,0,0,0,0,1,7,21,3,9,55,0,0
D20190104T220422_IFCB109,0,0,0,0,0,0,5,25,2,1,0,0,0
