File_Name,Location,Date,Oto_Num,Measurement,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_17_JS_reimage.tif,GHP,150515,17,8.919,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_17_JS_reimage.tif,GHP,150515,17,10.679,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_17_JS_reimage.tif,GHP,150515,17,12.817,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_17_JS_reimage.tif,GHP,150515,17,14.442,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_17_JS_reimage.tif,GHP,150515,17,14.442,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,-,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,4.56,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,5.344,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,6.593,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,7.902,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,9.612,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,9.612,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_19_JS_reimage0001.tif,GHP,150515,19,9.683,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,-,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,4.311,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,5.614,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,7.466,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,9.163,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,10.111,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,10.111,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_larva_20_JS_reimage.tif,GHP,150515,20,10.113,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,-,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,5.889,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,7.638,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,9.751,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,11.191,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,12.051,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,13.136,,,,,,,,,,,,,,,,,,,,,
GHP_150515_RH_Larva_9_JS_reimage0001.tif,GHP,150515,9,15.041,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,-,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,4.908,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,6.513,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,8.534,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,10.985,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,12.492,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,14.544,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_100_JS_reimage0001.tif,GHP,150601,100,14.544,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,-,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,6.497,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,9.422,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,11.143,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,12.457,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,13.823,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,15.273,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,16.915,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,18.2,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,19.703,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_101_JS_reimage.tif,GHP,150601,101,20.754,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_102_JS_reimage.tif,GHP,150601,102,-,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_102_JS_reimage.tif,GHP,150601,102,4.937,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_102_JS_reimage.tif,GHP,150601,102,6.852,,,,,,,,,,,,,,,,,,,,,
GHP_150601_RH_Larva_102_JS_reimage.tif,GHP,150601,102,8.544,,,,,,,,,,,,,,,,,,,,,
